ID,Słowo (Angielski),Tłumaczenie (Polski),Wymowa UK (IPA),Wymowa US (IPA)
1054,absence,nieobecność,/ˈæbsəns/,/ˈæbsəns/
1055,absolute,absolutny,/ˈæbsəluːt/,/ˈæbsəluːt/
1056,absolutely,absolutnie,/ˌæbsəˈluːtli/,/ˌæbsəˈluːtli/
1057,absorb,wchłaniać,/əbˈzɔːb/,/əbˈsɔːrb/
1058,abuse,nadużycie,/əˈbjuːz/ (verb),/əˈbjuːs/ (noun)
1059,academic,akademicki,/ˌækəˈdemɪk/,/ˌækəˈdemɪk/
1060,accent,akcent,/ˈæksənt/,/ˈæksent/
1061,accept,akceptować,/əkˈsept/,/əkˈsept/
1062,acceptable,akceptowalny,/əkˈseptəbəl/,/əkˈseptəbəl/
1063,access,dostęp,/ˈækses/,/ˈækses/
1064,accident,wypadek,/ˈæksɪdənt/,/ˈæksɪdənt/
1065,accompany,towarzyszyć,/əˈkʌmpəni/,/əˈkʌmpəni/
1066,according to,według,/əˈkɔːdɪŋ tuː/,/əˈkɔːrdɪŋ tuː/
1067,account,konto,/əˈkaʊnt/,/əˈkaʊnt/
1068,accurate,dokładny,/ˈækjərət/,/ˈækjərət/
1069,accuse,oskarżać,/əˈkjuːz/,/əˈkjuːz/
1070,achieve,osiągać,/əˈtʃiːv/,/əˈtʃiːv/
1071,achievement,osiągnięcie,/əˈtʃiːvmənt/,/əˈtʃiːvmənt/
1072,acid,kwas,/ˈæsɪd/,/ˈæsɪd/
1073,acknowledge,uznawać,/əkˈnɒlɪdʒ/,/əkˈnɑːlɪdʒ/
1074,acquire,nabywać,/əˈkwaɪə(r)/,/əˈkwaɪər/
1075,across,przez,/əˈkrɒs/,/əˈkrɔːs/
1076,action,działanie,/ˈækʃən/,/ˈækʃən/
1077,active,aktywny,/ˈæktɪv/,/ˈæktɪv/
1078,activity,aktywność,/ækˈtɪvəti/,/ækˈtɪvəti/
1079,actress,aktorka,/ˈæktrəs/,/ˈæktrəs/
1080,actual,rzeczywisty,/ˈæktʃuəl/,/ˈæktʃuəl/
1081,actually,właściwie,/ˈæktʃuəli/,/ˈæktʃuəli/
1082,ad,reklama,/æd/,/æd/
1083,adapt,dostosować,/əˈdæpt/,/əˈdæpt/
1084,addition,dodatek,/əˈdɪʃən/,/əˈdɪʃən/
1085,additional,dodatkowy,/əˈdɪʃənəl/,/əˈdɪʃənəl/
1086,address,adres,/əˈdres/,/ˈædres/
1087,adequate,odpowiedni,/ˈædɪkwət/,/ˈædɪkwət/
1088,adjust,dostosować,/əˈdʒʌst/,/əˈdʒʌst/
1089,administration,administracja,/ədˌmɪnɪˈstreɪʃən/,/ədˌmɪnɪˈstreɪʃən/
1090,admiration,podziw,/ˌædməˈreɪʃən/,/ˌædməˈreɪʃən/
1091,admire,podziwiać,/ədˈmaɪə(r)/,/ədˈmaɪər/
1092,admit,przyznać,/ədˈmɪt/,/ədˈmɪt/
1093,adopt,adoptować,/əˈdɒpt/,/əˈdɑːpt/
1094,adult,dorosły,/ˈædʌlt/,/əˈdʌlt/
1095,advance,postęp,/ədˈvɑːns/,/ədˈvæns/
1096,advanced,zaawansowany,/ədˈvɑːnst/,/ədˈvænst/
1097,advantage,zaleta,/ədˈvɑːntɪdʒ/,/ədˈvæntɪdʒ/
1098,adventure,przygoda,/ədˈventʃə(r)/,/ədˈventʃər/
1099,advertise,reklamować,/ˈædvətaɪz/,/ˈædvərtaɪz/
1100,advertisement,reklama,/ədˈvɜːtɪsmənt/,/ˌædvərˈtaɪzmənt/
1101,advertising,reklama,/ˈædvətaɪzɪŋ/,/ˈædvərtaɪzɪŋ/
1102,advice,rada (porada),/ədˈvaɪs/,/ədˈvaɪs/
1103,advise,radzić,/ədˈvaɪz/,/ədˈvaɪz/
1104,affair,sprawa,/əˈfeə(r)/,/əˈfer/
1105,affect,wpływać,/əˈfekt/,/əˈfekt/
1106,afford,pozwolić sobie,/əˈfɔːd/,/əˈfɔːrd/
1107,afterwards,później,/ˈɑːftəwədz/,/ˈæftərwərdz/
1108,aged,w wieku,/eɪdʒd/,/eɪdʒd/
1109,agency,agencja,/ˈeɪdʒənsi/,/ˈeɪdʒənsi/
1110,agenda,agenda,/əˈdʒendə/,/əˈdʒendə/
1111,agent,agent,/ˈeɪdʒənt/,/ˈeɪdʒənt/
1112,aggressive,agresywny,/əˈɡresɪv/,/əˈɡresɪv/
1113,agreement,umowa,/əˈɡriːmənt/,/əˈɡriːmənt/
1114,ahead,naprzód,/əˈhed/,/əˈhed/
1115,aid,pomoc,/eɪd/,/eɪd/
1116,aim,cel,/eɪm/,/eɪm/
1117,aircraft,samolot,/ˈeəkrɑːft/,/ˈerkræft/
1118,airport,lotnisko,/ˈeəpɔːt/,/ˈerpɔːrt/
1119,alarm,alarm,/əˈlɑːm/,/əˈlɑːrm/
1120,album,album,/ˈælbəm/,/ˈælbəm/
1121,alcohol,alkohol,/ˈælkəhɒl/,/ˈælkəhɑːl/
1122,alcoholic,alkoholowy,/ˌælkəˈhɒlɪk/,/ˌælkəˈhɑːlɪk/
1123,alive,żywy,/əˈlaɪv/,/əˈlaɪv/
1124,all right,w porządku,/ˌɔːl ˈraɪt/,/ˌɔːl ˈraɪt/
1125,ally,sojusznik,/ˈælaɪ/,/ˈælaɪ/
1126,almost,prawie,/ˈɔːlməʊst/,/ˈɔːlmoʊst/
1127,alone,sam,/əˈləʊn/,/əˈloʊn/
1128,along,wzdłuż,/əˈlɒŋ/,/əˈlɔːŋ/
1129,aloud,głośno,/əˈlaʊd/,/əˈlaʊd/
1130,alphabet,alfabet,/ˈælfəbet/,/ˈælfəbet/
1131,already,już,/ɔːlˈredi/,/ɔːlˈredi/
1132,alter,zmieniać,/ˈɔːltə(r)/,/ˈɔːltər/
1133,alternative,alternatywa,/ɔːlˈtɜːnətɪv/,/ɔːlˈtɜːrnətɪv/
1134,although,chociaż,/ɔːlˈðəʊ/,/ɔːlˈðoʊ/
1135,altogether,całkowicie,/ˌɔːltəˈɡeðə(r)/,/ˌɔːltəˈɡeðər/
1136,amaze,zdumiewać,/əˈmeɪz/,/əˈmeɪz/
1137,amazing,niesamowity,/əˈmeɪzɪŋ/,/əˈmeɪzɪŋ/
1138,ambition,ambicja,/æmˈbɪʃən/,/æmˈbɪʃən/
1139,ambulance,karetka,/ˈæmbjələns/,/ˈæmbjələns/
1141,amount,ilość,/əˈmaʊnt/,/əˈmaʊnt/
1142,analyse,analizować,/ˈænəlaɪz/,/ˈænəlaɪz/
1143,analysis,analiza,/əˈnæləsɪs/,/əˈnæləsɪs/
1144,ancient,starożytny,/ˈeɪnʃənt/,/ˈeɪnʃənt/
1145,angle,kąt,/ˈæŋɡəl/,/ˈæŋɡəl/
1146,angry,zły,/ˈæŋɡri/,/ˈæŋɡri/
1147,ankle,kostka,/ˈæŋkəl/,/ˈæŋkəl/
1148,anniversary,rocznica,/ˌænɪˈvɜːsəri/,/ˌænɪˈvɜːrsəri/
1149,announce,ogłosić,/əˈnaʊns/,/əˈnaʊns/
1150,annoy,denerwować,/əˈnɔɪ/,/əˈnɔɪ/
1151,annoying,denerwujący,/əˈnɔɪɪŋ/,/əˈnɔɪɪŋ/
1152,annual,roczny,/ˈænjuəl/,/ˈænjuəl/
1153,another,inny,/əˈnʌðə(r)/,/əˈnʌðər/
1154,anxious,zaniepokojony,/ˈæŋkʃəs/,/ˈæŋkʃəs/
1155,anybody,ktokolwiek,/ˈenibɒdi/,/ˈenibɑːdi/
1156,anyone,ktokolwiek,/ˈeniwʌn/,/ˈeniwʌn/
1157,anything,cokolwiek,/ˈeniθɪŋ/,/ˈeniθɪŋ/
1158,anyway,w każdym razie,/ˈeniweɪ/,/ˈeniweɪ/
1159,anywhere,gdziekolwiek,/ˈeniweə(r)/,/ˈeniwer/
1160,apart,oprócz,/əˈpɑːt/,/əˈpɑːrt/
1161,apartment,mieszkanie,/əˈpɑːtmənt/,/əˈpɑːrtmənt/
1162,apologize,przepraszać,/əˈpɒlədʒaɪz/,/əˈpɑːlədʒaɪz/
1163,apparent,oczywisty,/əˈpærənt/,/əˈpærənt/
1164,apparently,najwyraźniej,/əˈpærəntli/,/əˈpærəntli/
1165,appeal,apel,/əˈpiːl/,/əˈpiːl/
1166,appearance,wygląd,/əˈpɪərəns/,/əˈpɪərəns/
1167,application,aplikacja,/ˌæplɪˈkeɪʃən/,/ˌæplɪˈkeɪʃən/
1168,apply,aplikować,/əˈplaɪ/,/əˈplaɪ/
1169,appoint,mianować,/əˈpɔɪnt/,/əˈpɔɪnt/
1170,appointment,spotkanie,/əˈpɔɪntmənt/,/əˈpɔɪntmənt/
1171,appreciate,doceniać,/əˈpriːʃieɪt/,/əˈpriːʃieɪt/
1172,approach,podejście,/əˈprəʊtʃ/,/əˈproʊtʃ/
1173,appropriate,odpowiedni,/əˈprəʊpriət/,/əˈproʊpriət/
1174,approval,aprobata,/əˈpruːvəl/,/əˈpruːvəl/
1175,approve,zatwierdzać,/əˈpruːv/,/əˈpruːv/
1176,approving,aprobujący,/əˈpruːvɪŋ/,/əˈpruːvɪŋ/
1177,approximate,przybliżony,/əˈprɒksɪmət/,/əˈprɑːksɪmət/
1178,approximately,około,/əˈprɒksɪmətli/,/əˈprɑːksɪmətli/
1179,April,kwiecień,/ˈeɪprəl/,/ˈeɪprəl/
1180,argue,kłócić się,/ˈɑːɡjuː/,/ˈɑːrɡjuː/
1181,argument,kłótnia,/ˈɑːɡjəmənt/,/ˈɑːrɡjəmənt/
1182,arise,powstawać,/əˈraɪz/,/əˈraɪz/
1183,armed,uzbrojony,/ɑːmd/,/ɑːrmd/
1184,army,armia,/ˈɑːmi/,/ˈɑːrmi/
1185,around,wokół,/əˈraʊnd/,/əˈraʊnd/
1187,arrangement,aranżacja,/əˈreɪndʒmənt/,/əˈreɪndʒmənt/
1188,arrest,aresztować,/əˈrest/,/əˈrest/
1189,arrival,przyjazd,/əˈraɪvəl/,/əˈraɪvəl/
1190,arrow,strzała,/ˈærəʊ/,/ˈæroʊ/
1191,article,artykuł,/ˈɑːtɪkəl/,/ˈɑːrtɪkəl/
1192,artificial,sztuczny,/ˌɑːtɪˈfɪʃəl/,/ˌɑːrtɪˈfɪʃəl/
1193,artistic,artystyczny,/ɑːˈtɪstɪk/,/ɑːrˈtɪstɪk/
1194,ashamed,zawstydzony,/əˈʃeɪmd/,/əˈʃeɪmd/
1195,aside,na bok,/əˈsaɪd/,/əˈsaɪd/
1196,asleep,śpiący,/əˈsliːp/,/əˈsliːp/
1197,aspect,aspekt,/ˈæspekt/,/ˈæspekt/
1198,assist,asystować,/əˈsɪst/,/əˈsɪst/
1199,assistance,pomoc,/əˈsɪstəns/,/əˈsɪstəns/
1200,assistant,asystent,/əˈsɪstənt/,/əˈsɪstənt/
1201,associate,kojarzyć,/əˈsəʊʃieɪt/,/əˈsoʊʃieɪt/
1202,association,stowarzyszenie,/əˌsəʊʃiˈeɪʃən/,/əˌsoʊsiˈeɪʃən/
1203,assume,zakładać,/əˈsjuːm/,/əˈsuːm/
1204,assure,zapewniać,/əˈʃʊə(r)/,/əˈʃʊr/
1205,atmosphere,atmosfera,/ˈætməsfɪə(r)/,/ˈætməsfɪr/
1206,attach,dołączyć,/əˈtætʃ/,/əˈtætʃ/
1207,attack,atak,/əˈtæk/,/əˈtæk/
1208,attempt,próba,/əˈtempt/,/əˈtempt/
1209,attend,uczestniczyć,/əˈtend/,/əˈtend/
1210,attention,uwaga,/əˈtenʃən/,/əˈtenʃən/
1211,attitude,postawa,/ˈætɪtjuːd/,/ˈætɪtuːd/
1212,attorney,adwokat,/əˈtɜːni/,/əˈtɜːrni/
1213,attract,przyciągać,/əˈtrækt/,/əˈtrækt/
1214,attraction,atrakcja,/əˈtrækʃən/,/əˈtrækʃən/
1215,attractive,atrakcyjny,/əˈtræktɪv/,/əˈtræktɪv/
1216,audience,publiczność,/ˈɔːdiəns/,/ˈɑːdiəns/
1217,August,sierpień,/ˈɔːɡəst/,/ˈɔːɡəst/
1218,author,autor,/ˈɔːθə(r)/,/ˈɔːθər/
1219,authority,autorytet,/ɔːˈθɒrəti/,/əˈθɔːrəti/
1220,automatic,automatyczny,/ˌɔːtəˈmætɪk/,/ˌɔːtəˈmætɪk/
1221,automatically,automatycznie,/ˌɔːtəˈmætɪkli/,/ˌɔːtəˈmætɪkli/
1222,autumn,jesień,/ˈɔːtəm/,/ˈɔːtəm/
1223,available,dostępny,/əˈveɪləbəl/,/əˈveɪləbəl/
1224,average,średnia,/ˈævərɪdʒ/,/ˈævərɪdʒ/
1225,avoid,unikać,/əˈvɔɪd/,/əˈvɔɪd/
1226,awake,obudzony,/əˈweɪk/,/əˈweɪk/
1227,award,nagroda,/əˈwɔːd/,/əˈwɔːrd/
1228,aware,świadomy,/əˈweə(r)/,/əˈwer/
1229,away,daleko,/əˈweɪ/,/əˈweɪ/
1230,awful,okropny,/ˈɔːfəl/,/ˈɔːfəl/
1231,awkward,niezręczny,/ˈɔːkwəd/,/ˈɔːkwərd/
1232,background,tło,/ˈbækɡraʊnd/,/ˈbækɡraʊnd/
1233,backwards,do tyłu,/ˈbækwədz/,/ˈbækwərdz/
1234,bacon,bekon,/ˈbeɪkən/,/ˈbeɪkən/
1235,badly,źle,/ˈbædli/,/ˈbædli/
1236,bag,torba,/bæɡ/,/bæɡ/
1237,bake,piec,/beɪk/,/beɪk/
1238,balance,równowaga,/ˈbæləns/,/ˈbæləns/
1239,ban,zakaz,/bæn/,/bæn/
1240,bandage,bandaż,/ˈbændɪdʒ/,/ˈbændɪdʒ/
1241,bargain,okazja,/ˈbɑːɡən/,/ˈbɑːrɡən/
1242,barrier,bariera,/ˈbæriə(r)/,/ˈbæriər/
1243,based,oparty,/beɪst/,/beɪst/
1244,basically,zasadniczo,/ˈbeɪsɪkli/,/ˈbeɪsɪkli/
1245,basis,podstawa,/ˈbeɪsɪs/,/ˈbeɪsɪs/
1246,bath,kąpiel,/bɑːθ/,/bæθ/
1247,battery,bateria,/ˈbætəri/,/ˈbætəri/
1248,battle,bitwa,/ˈbætəl/,/ˈbætəl/
1249,bay,zatoka,/beɪ/,/beɪ/
1250,beach,plaża,/biːtʃ/,/biːtʃ/
1251,beak,dziób,/biːk/,/biːk/
1252,beard,broda,/bɪəd/,/bɪrd/
1253,beautifully,pięknie,/ˈbjuːtɪfəli/,/ˈbjuːtɪfəli/
1254,become,stawać się,/bɪˈkʌm/,/bɪˈkʌm/
1255,beef,wołowina,/biːf/,/biːf/
1256,beginning,początek,/bɪˈɡɪnɪŋ/,/bɪˈɡɪnɪŋ/
1257,behalf,w imieniu,/bɪˈhɑːf/,/bɪˈhæf/
1258,behave,zachowywać się,/bɪˈheɪv/,/bɪˈheɪv/
1259,behaviour,zachowanie,/bɪˈheɪvjə(r)/,/bɪˈheɪvjər/
1260,belief,wiara,/bɪˈliːf/,/bɪˈliːf/
1261,belong,należeć,/bɪˈlɒŋ/,/bɪˈlɔːŋ/
1262,belt,pasek,/belt/,/belt/
1263,bend,zginać,/bend/,/bend/
1264,beneath,pod,/bɪˈniːθ/,/bɪˈniːθ/
1265,benefit,korzyść,/ˈbenɪfɪt/,/ˈbenɪfɪt/
1266,beside,obok,/bɪˈsaɪd/,/bɪˈsaɪd/
1267,bet,zakład,/bet/,/bet/
1268,beyond,poza,/bɪˈjɒnd/,/bɪˈjɑːnd/
1269,bid,licytować,/bɪd/,/bɪd/
1270,bill,rachunek,/bɪl/,/bɪl/
1271,bin,kosz,/bɪn/,/bɪn/
1272,biology,biologia,/baɪˈɒlədʒi/,/baɪˈɑːlədʒi/
1273,birth,narodziny,/bɜːθ/,/bɜːrθ/
1274,birthday,urodziny,/ˈbɜːθdeɪ/,/ˈbɜːrθdeɪ/
1275,biscuit,herbatnik,/ˈbɪskɪt/,/ˈbɪskɪt/
1276,bite,gryźć,/baɪt/,/baɪt/
1277,bitter,gorzki,/ˈbɪtə(r)/,/ˈbɪtər/
1278,blade,ostrze,/bleɪd/,/bleɪd/
1279,blame,winić,/bleɪm/,/bleɪm/
1280,blank,pusty,/blæŋk/,/blæŋk/
1281,blind,ślepy,/blaɪnd/,/blaɪnd/
1282,blonde,blondynka,/blɒnd/,/blɑːnd/
1283,boil,gotować,/bɔɪl/,/bɔɪl/
1284,bomb,bomba,/bɒm/,/bɑːm/
1285,boot,but (z wyższą cholewką),/buːt/,/buːt/
1286,border,granica,/ˈbɔːdə(r)/,/ˈbɔːrdər/
1287,bored,znudzony,/bɔːd/,/bɔːrd/
1288,boring,nudny,/ˈbɔːrɪŋ/,/ˈbɔːrɪŋ/
1289,borrow,pożyczać,/ˈbɒrəʊ/,/ˈbɑːroʊ/
1290,boss,szef,/bɒs/,/bɔːs/
1291,bother,przeszkadzać,/ˈbɒðə(r)/,/ˈbɑːðər/
1292,bottle,butelka,/ˈbɒtəl/,/ˈbɑːtəl/
1293,bowl,miska,/bəʊl/,/boʊl/
1294,boyfriend,chłopak,/ˈbɔɪfrend/,/ˈbɔɪfrend/
1295,brand,marka,/brænd/,/brænd/
1296,brave,odważny,/breɪv/,/breɪv/
1297,breast,pierś,/brest/,/brest/
1298,breath,oddech,/breθ/,/breθ/
1299,breathe,oddychać,/briːð/,/briːð/
1300,breathing,oddychanie,/ˈbriːðɪŋ/,/ˈbriːðɪŋ/
1301,bride,panna młoda,/braɪd/,/braɪd/
1302,bridge,most,/brɪdʒ/,/brɪdʒ/
1303,brief,krótki,/briːf/,/briːf/
1304,briefly,krótko,/ˈbriːfli/,/ˈbriːfli/
1305,brilliant,genialny,/ˈbrɪliənt/,/ˈbrɪliənt/
1306,broadcast,transmitować,/ˈbrɔːdkɑːst/,/ˈbrɔːdkæst/
1307,broken,zepsuty,/ˈbrəʊkən/,/ˈbroʊkən/
1308,brush,szczotka,/brʌʃ/,/brʌʃ/
1309,bubble,bańka,/ˈbʌbəl/,/ˈbʌbəl/
1310,budget,budżet,/ˈbʌdʒɪt/,/ˈbʌdʒɪt/
1311,building,budynek,/ˈbɪldɪŋ/,/ˈbɪldɪŋ/
1312,bullet,kula,/ˈbʊlɪt/,/ˈbʊlɪt/
1313,bunch,pęk,/bʌntʃ/,/bʌntʃ/
1314,bury,pochować,/ˈberi/,/ˈberi/
1315,bush,krzak,/bʊʃ/,/bʊʃ/
1316,businessman,biznesmen,/ˈbɪznəsmæn/,/ˈbɪznəsmæn/
1317,butter,masło,/ˈbʌtə(r)/,/ˈbʌtər/
1318,button,guzik,/ˈbʌtən/,/ˈbʌtən/
1319,bye,cześć,/baɪ/,/baɪ/
1320,cabinet,szafka,/ˈkæbɪnət/,/ˈkæbɪnət/
1321,cable,kabel,/ˈkeɪbəl/,/ˈkeɪbəl/
1322,cake,ciasto,/keɪk/,/keɪk/
1323,calculate,kalkulować,/ˈkælkjəleɪt/,/ˈkælkjəleɪt/
1324,calculation,kalkulacja,/ˌkælkjəˈleɪʃən/,/ˌkælkjəˈleɪʃən/
1325,calm,spokojny,/kɑːm/,/kɑːm/
1326,camera,aparat,/ˈkæmərə/,/ˈkæmərə/
1327,campaign,kampania,/kæmˈpeɪn/,/kæmˈpeɪn/
1328,cancel,anulować,/ˈkænsəl/,/ˈkænsəl/
1329,cancer,rak,/ˈkænsə(r)/,/ˈkænsər/
1330,candidate,kandydat,/ˈkændɪdət/,/ˈkændɪdeɪt/
1331,candle,świeca,/ˈkændəl/,/ˈkændəl/
1332,candy,cukierek,/ˈkændi/,/ˈkændi/
1333,cap,czapka,/kæp/,/kæp/
1334,capable,zdolny,/ˈkeɪpəbəl/,/ˈkeɪpəbəl/
1335,capacity,pojemność,/kəˈpæsəti/,/kəˈpæsəti/
1336,capture,schwytać,/ˈkæptʃə(r)/,/ˈkæptʃər/
1337,career,kariera,/kəˈrɪə(r)/,/kəˈrɪr/
1338,careful,ostrożny,/ˈkeəfəl/,/ˈkerfəl/
1339,carefully,ostrożnie,/ˈkeəfəli/,/ˈkerfəli/
1340,careless,nieostrożny,/ˈkeələs/,/ˈkerləs/
1341,carpet,dywan,/ˈkɑːpɪt/,/ˈkɑːrpɪt/
1342,carrot,marchewka,/ˈkærət/,/ˈkærət/
1343,cash,gotówka,/kæʃ/,/kæʃ/
1344,cast,obsada,/kɑːst/,/kæst/
1345,castle,zamek,/ˈkɑːsəl/,/ˈkæsəl/
1346,category,kategoria,/ˈkætəɡəri/,/ˈkætəɡɔːri/
1347,cease,przestać,/siːs/,/siːs/
1348,ceiling,sufit,/ˈsiːlɪŋ/,/ˈsiːlɪŋ/
1349,celebrate,świętować,/ˈseləbreɪt/,/ˈseləbreɪt/
1350,celebration,świętowanie,/ˌseləˈbreɪʃən/,/ˌseləˈbreɪʃən/
1351,central,centralny,/ˈsentrəl/,/ˈsentrəl/
1352,ceremony,ceremonia,/ˈserəməni/,/ˈserəmoʊni/
1353,certainly,na pewno,/ˈsɜːtənli/,/ˈsɜːrtənli/
1354,certificate,certyfikat,/səˈtɪfɪkət/,/sərˈtɪfɪkət/
1355,chain,łańcuch,/tʃeɪn/,/tʃeɪn/
1356,chairman,przewodniczący,/ˈtʃeəmən/,/ˈtʃermən/
1357,challenge,wyzwanie,/ˈtʃæləndʒ/,/ˈtʃæləndʒ/
1358,chamber,izba,/ˈtʃeɪmbə(r)/,/ˈtʃeɪmbər/
1359,channel,kanał,/ˈtʃænəl/,/ˈtʃænəl/
1360,chapter,rozdział,/ˈtʃæptə(r)/,/ˈtʃæptər/
1361,characteristic,cecha,/ˌkærəktəˈrɪstɪk/,/ˌkærəktəˈrɪstɪk/
1362,charity,dobroczynność,/ˈtʃærəti/,/ˈtʃærəti/
1363,chase,gonić,/tʃeɪs/,/tʃeɪs/
1364,chat,rozmawiać,/tʃæt/,/tʃæt/
1365,cheap,tani,/tʃiːp/,/tʃiːp/
1366,cheat,oszukiwać,/tʃiːt/,/tʃiːt/
1367,cheek,policzek,/tʃiːk/,/tʃiːk/
1368,cheerful,wesoły,/ˈtʃɪəfəl/,/ˈtʃɪrfəl/
1369,chemical,chemiczny,/ˈkemɪkəl/,/ˈkemɪkəl/
1370,chemist,chemik,/ˈkemɪst/,/ˈkemɪst/
1371,chemistry,chemia,/ˈkemɪstri/,/ˈkemɪstri/
1372,cheque,czek,/tʃek/,/tʃek/
1373,chest,klatka piersiowa,/tʃest/,/tʃest/
1374,childhood,dzieciństwo,/ˈtʃaɪldhʊd/,/ˈtʃaɪldhʊd/
1375,chin,broda,/tʃɪn/,/tʃɪn/
1376,chip,czip,/tʃɪp/,/tʃɪp/
1377,chocolate,czekolada,/ˈtʃɒklət/,/ˈtʃɔːklət/
1378,choice,wybór,/tʃɔɪs/,/tʃɔɪs/
1379,chop,siekać,/tʃɒp/,/tʃɑːp/
1380,church,kościół,/tʃɜːtʃ/,/tʃɜːrtʃ/
1381,cigarette,papieros,/ˌsɪɡəˈret/,/ˈsɪɡəret/
1382,cinema,kino,/ˈsɪnəmə/,/ˈsɪnəmə/
1383,circumstance,okoliczność,/ˈsɜːkəmstæns/,/ˈsɜːrkəmstæns/
1384,citizen,obywatel,/ˈsɪtɪzən/,/ˈsɪtɪzən/
1385,civil,cywilny,/ˈsɪvəl/,/ˈsɪvəl/
1386,clap,klaskać,/klæp/,/klæp/
1387,classic,klasyczny,/ˈklæsɪk/,/ˈklæsɪk/
1388,classical,klasyczny,/ˈklæsɪkəl/,/ˈklæsɪkəl/
1389,classroom,klasa,/ˈklɑːsruːm/,/ˈklæsˌruːm/
1390,clearly,jasno,/ˈklɪəli/,/ˈklɪrli/
1391,clerk,urzędnik,/klɑːk/,/klɜːrk/
1392,clever,mądry,/ˈklevə(r)/,/ˈklevər/
1393,click,kliknąć,/klɪk/,/klɪk/
1394,client,klient,/ˈklaɪənt/,/ˈklaɪənt/
1395,climate,klimat,/ˈklaɪmət/,/ˈklaɪmət/
1396,closely,blisko,/ˈkləʊsli/,/ˈkloʊsli/
1397,closed,zamknięty,/kləʊzd/,/kloʊzd/
1398,closet,szafa,/ˈklɒzɪt/,/ˈklɑːzət/
1399,cloth,tkanina,/klɒθ/,/klɔːθ/
1400,clothes,ubrania,/kləʊðz/,"/kloʊðz/, /kloʊz/"
1401,clothing,odzież,/ˈkləʊðɪŋ/,/ˈkloʊðɪŋ/
1402,club,klub,/klʌb/,/klʌb/
